File,WER,Sub,Del,Ins
french10,13.0,10.1,1.4,1.4,
french11,18.8,14.5,4.3,0.0,
french12,2.9,2.9,0.0,0.0,
french13,26.1,20.3,5.8,0.0,
french14,15.9,10.1,4.3,1.4,
french15,39.1,30.4,7.2,1.4,
french16,4.3,4.3,0.0,0.0,
french17,23.2,15.9,2.9,4.3,
french18,1.4,1.4,0.0,0.0,
french19,17.4,8.7,1.4,7.2,
french1,21.7,14.5,0.0,7.2,
french20,18.8,13.0,4.3,1.4,
french21,24.6,21.7,1.4,1.4,
french22,20.3,18.8,1.4,0.0,
french23,14.5,13.0,1.4,0.0,
french24,15.9,13.0,2.9,0.0,
french25,13.0,10.1,1.4,1.4,
french26,4.3,4.3,0.0,0.0,
french27,26.1,20.3,2.9,2.9,
french28,5.8,2.9,2.9,0.0,
french29,11.6,4.3,2.9,4.3,
french2,21.7,13.0,1.4,7.2,
french30,17.4,10.1,4.3,2.9,
french31,33.3,29.0,2.9,1.4,
french32,40.6,27.5,1.4,11.6,
french33,5.8,4.3,1.4,0.0,
french34,24.6,21.7,2.9,0.0,
french35,15.9,14.5,1.4,0.0,
french36,11.6,8.7,2.9,0.0,
french37,23.2,15.9,7.2,0.0,
french38,11.6,10.1,1.4,0.0,
french39,36.2,33.3,1.4,1.4,
french3,18.8,13.0,4.3,1.4,
french40,13.0,8.7,4.3,0.0,
french41,23.2,17.4,5.8,0.0,
french42,26.1,20.3,4.3,1.4,
french43,10.1,10.1,0.0,0.0,
french44,24.6,20.3,4.3,0.0,
french45,10.1,4.3,5.8,0.0,
french46,34.8,24.6,7.2,2.9,
french47,29.0,23.2,4.3,1.4,
french48,4.3,4.3,0.0,0.0,
french49,4.3,2.9,0.0,1.4,
french4,33.3,27.5,0.0,5.8,
french50,40.6,30.4,8.7,1.4,
french51,17.4,17.4,0.0,0.0,
french52,5.8,2.9,1.4,1.4,
french53,14.5,10.1,2.9,1.4,
french54,13.0,13.0,0.0,0.0,
french55,21.7,17.4,1.4,2.9,
french56,29.0,13.0,0.0,15.9,
french57,42.0,27.5,7.2,7.2,
french58,7.2,5.8,1.4,0.0,
french59,24.6,20.3,4.3,0.0,
french5,20.3,15.9,1.4,2.9,
french60,37.7,31.9,5.8,0.0,
french61,8.7,5.8,0.0,2.9,
french62,18.8,17.4,0.0,1.4,
french63,11.6,5.8,4.3,1.4,
french6,15.9,15.9,0.0,0.0,
french7,4.3,4.3,0.0,0.0,
french8,36.2,27.5,1.4,7.2,
french9,18.8,15.9,2.9,0.0,
